Date,Original,Train,Test,Valid
2013-09-01,51638.119999999995,53220.03515625,,
2013-09-08,54225.0,50483.01171875,,
2013-09-15,53741.48,55915.0703125,,
2013-09-22,27219.83,50292.08984375,,
2013-09-29,15712.84,27616.2109375,,
2013-10-06,10964.04,16620.5,,
2013-10-13,10081.29,12085.759765625,,
2013-10-20,11826.26,10543.8271484375,,
2013-10-27,20687.66,12734.7392578125,,
2013-11-03,13149.987500000001,16679.361328125,,
2013-11-10,11388.653333333334,8059.111328125,,
2013-11-17,8149.78,8860.7294921875,,
2013-11-24,7102.92,7728.77294921875,,
2013-12-01,5606.705,6882.3896484375,,
2013-12-08,5045.408333333334,7587.546875,,
2013-12-15,4701.8983333333335,4323.7197265625,,
2013-12-22,4301.742,3798.568115234375,,
2013-12-29,3579.715,3508.8388671875,,
2014-01-05,2819.9739999999997,3068.86669921875,,
2014-01-12,2422.1516666666666,2390.779296875,,
2014-01-19,2198.4660000000003,2174.697998046875,,
2014-01-26,2355.606,2091.970947265625,,
2014-02-02,2577.7516666666666,2287.658447265625,,
2014-02-09,2545.8033333333333,2456.687744140625,,
2014-02-16,2347.0516666666667,2343.53369140625,,
2014-02-23,2225.9266666666667,2192.482666015625,,
2014-03-02,2163.6966666666667,2144.464111328125,,
